energy,mu_mass
1.00E-03,5.21E+03
1.50E-03,2.36E+03
2.00E-03,1.29E+03
2.48E-03,8.01E+02
2.48E-03,1.40E+03
2.53E-03,1.73E+03
2.59E-03,1.94E+03
2.59E-03,2.46E+03
3.00E-03,1.97E+03
3.07E-03,1.86E+03
3.07E-03,2.15E+03
3.30E-03,1.80E+03
3.55E-03,1.50E+03
3.55E-03,1.59E+03
3.70E-03,1.44E+03
3.85E-03,1.31E+03
3.85E-03,1.37E+03
4.00E-03,1.25E+03
5.00E-03,7.30E+02
6.00E-03,4.67E+02
8.00E-03,2.29E+02
1.00E-02,1.31E+02
1.30E-02,6.70E+01
1.30E-02,1.62E+02
1.50E-02,1.12E+02
1.52E-02,1.08E+02
1.52E-02,1.49E+02
1.55E-02,1.42E+02
1.59E-02,1.34E+02
1.59E-02,1.55E+02
2.00E-02,8.64E+01
3.00E-02,3.03E+01
4.00E-02,1.44E+01
5.00E-02,8.04E+00
6.00E-02,5.02E+00
8.00E-02,2.42E+00
8.80E-02,1.91E+00
8.80E-02,7.68E+00
1.00E-01,5.55E+00
1.50E-01,2.01E+00
2.00E-01,9.99E-01
3.00E-01,4.03E-01
4.00E-01,2.32E-01
5.00E-01,1.61E-01
6.00E-01,1.25E-01
8.00E-01,8.87E-02
1.00E+00,7.10E-02
1.25E+00,5.88E-02
1.50E+00,5.22E-02
2.00E+00,4.61E-02
3.00E+00,4.23E-02
4.00E+00,4.20E-02
5.00E+00,4.27E-02
6.00E+00,4.39E-02
8.00E+00,4.68E-02
1.00E+01,4.97E-02
1.50E+01,5.66E-02
2.00E+01,6.21E-02